type	timestamp	epoch	step	train_accuracy	predict_labels	actual_labels
train	20200410132143	3	42	0.9494048	[2 0 0 2 1 1 2 2]	[2 0 0 2 1 1 2 2]
train	20200410132153	3	43	0.9505814	[0 0 1 0 2 2 2 0]	[0 0 1 0 2 2 2 0]
train	20200410132203	3	44	0.9488636	[2 2 1 2 0 2 2 2]	[2 2 2 2 0 2 2 2]
train	20200410132214	3	45	0.95	[2 1 0 1 2 2 2 2]	[2 1 0 1 2 2 2 2]
train	20200410132224	3	46	0.95108694	[2 0 2 2 0 2 1 0]	[2 0 2 2 0 2 1 0]
train	20200410132234	3	47	0.95212764	[2 0 2 0 1 2 1 1]	[2 0 2 0 1 2 1 1]
train	20200410132348	3	48	0.953125	[2 0 1 0 0 0 2 1]	[2 0 1 0 0 0 2 1]
train	20200410132356	3	49	0.95408165	[0 2 2 0 0 2 2 2]	[0 2 2 0 0 2 2 2]
train	20200410132407	3	50	0.955	[0 1 2 2 2 1 1 0]	[0 1 2 2 2 1 1 0]
train	20200410132418	3	51	0.9558824	[0 2 2 2 1 0 2 0]	[0 2 2 2 1 0 2 0]
train	20200410132428	3	52	0.9543269	[0 2 2 0 0 1 0 1]	[0 2 2 0 0 0 0 1]
train	20200410132438	3	53	0.9551887	[0 0 1 2 1 1 0 2]	[0 0 1 2 1 1 0 2]
train	20200410132448	3	54	0.9560185	[0 2 2 1 1 0 2 0]	[0 2 2 1 1 0 2 0]
train	20200410132501	3	55	0.95681816	[0 1 2 0 1 2 2 0]	[0 1 2 0 1 2 2 0]
train	20200410132511	3	56	0.95758927	[2 1 2 2 2 0 2 2]	[2 1 2 2 2 0 2 2]
train	20200410132521	3	57	0.9583333	[2 2 0 1 0 0 0 1]	[2 2 0 1 0 0 0 1]
train	20200410132528	3	58	0.95878524	[2 2 0 1 0]	[2 2 0 1 0]
train	20200410132658	4	1	0.75	[2 2 0 1 2 2 0 2]	[2 2 1 1 2 2 1 2]
train	20200410132708	4	2	0.875	[0 2 0 0 2 1 2 0]	[0 2 0 0 2 1 2 0]
train	20200410132718	4	3	0.9166667	[1 0 1 2 2 1 0 2]	[1 0 1 2 2 1 0 2]
train	20200410132729	4	4	0.9375	[1 1 2 2 2 0 1 2]	[1 1 2 2 2 0 1 2]
train	20200410132739	4	5	0.95	[0 2 2 0 0 1 0 2]	[0 2 2 0 0 1 0 2]
train	20200410132750	4	6	0.9583333	[2 1 0 0 0 2 2 2]	[2 1 0 0 0 2 2 2]
train	20200410132800	4	7	0.9464286	[2 0 2 0 2 0 1 2]	[2 0 2 0 2 0 0 2]
train	20200410132811	4	8	0.9375	[1 2 2 2 1 2 2 2]	[0 2 2 2 1 2 2 2]
train	20200410132822	4	9	0.9444444	[2 2 1 0 0 2 1 1]	[2 2 1 0 0 2 1 1]
train	20200410132833	4	10	0.9375	[2 1 2 2 2 0 2 2]	[2 0 2 2 2 0 2 2]
train	20200410132843	4	11	0.9431818	[0 2 2 2 0 2 1 1]	[0 2 2 2 0 2 1 1]
train	20200410132857	4	12	0.9479167	[0 0 2 0 0 2 2 0]	[0 0 2 0 0 2 2 0]
train	20200410132907	4	13	0.9519231	[2 2 1 2 1 2 2 2]	[2 2 1 2 1 2 2 2]
train	20200410132919	4	14	0.95535713	[1 1 0 1 1 1 2 1]	[1 1 0 1 1 1 2 1]
train	20200410132932	4	15	0.9583333	[0 2 2 2 0 2 2 1]	[0 2 2 2 0 2 2 1]
train	20200410132944	4	16	0.953125	[0 2 2 0 2 0 2 2]	[1 2 2 0 2 0 2 2]
